Sitting _Force (N),Standing _Force (N),Walking_Force (N)
4.013053894,5.313552856,8.451087952
3.977287292,5.420860291,8.525184631
3.903190613,5.520507813,8.525184631
3.882751465,5.415748596,8.356552124
3.862312317,5.173027039,8.062728882
3.839317322,4.989067078,7.832778931
3.803543091,4.754005432,7.503181458
3.783103943,4.644142151,7.36265564
3.770332336,4.559822083,7.319221497
3.772888184,4.559822083,7.418869019
3.788215637,4.610923767,7.549171448
3.846977234,4.723342896,7.436752319
3.895523071,4.812767029,7.127601624
3.959396362,4.999282837,7.114822388
3.99772644,5.16280365,7.326889038
4.05393219,5.43107605,7.641151428
4.097366333,5.617591858,7.789344788
4.189346313,5.806663513,8.193031311
4.263442993,5.83732605,8.32334137
4.380973816,5.829658508,8.103607178
4.462738037,5.834770203,8.003967285
4.570045471,5.901199341,8.149597168
4.639030457,5.982955933,8.241577148
4.741226196,6.143920898,8.430648804
4.805107117,6.276786804,8.711700439
4.897087097,6.542503357,8.829231262
4.960960388,6.744346619,8.660598755
5.065711975,7.063720703,8.744911194
5.109146118,7.247680664,9.028518677
5.150032043,7.360107422,9.204811096
5.188354492,7.347328186,9.268692017
5.265007019,7.321777344,9.644271851
5.32888031,7.324333191,10.04541016
5.420860291,7.314117432,10.71993256
5.443855286,7.324333191,11.07762909
5.410636902,7.431640625,11.25392151
5.362091064,7.533843994,11.40978241
5.303329468,7.682037354,12.06130219
5.196022034,7.712692261,12.44200134
5.114257813,7.510848999,12.69750214
4.989067078,7.23235321,12.86612701
4.899642944,6.941085815,13.31069946
4.759117126,6.591049194,13.67606354
4.646697998,6.401977539,13.96222687
4.472953796,6.113265991,14.0567627
4.380973816,5.890975952,13.84980774
4.260887146,5.500061035,13.46910858
4.184242249,5.178131104,12.78437042
4.066711426,4.748893738,12.25548553
3.982391357,4.572601318,11.17472076
3.869972229,4.409080505,10.60495758
3.800987244,4.301773071,10.19104767
3.696235657,4.105033875,10.0888443
3.627250671,3.984947205,9.948318481
3.540382385,3.834205627,9.879333496
3.49949646,3.737113953,9.874221802
3.448402405,3.596588135,9.945762634
3.412628174,3.514831543,9.685157776
3.361526489,3.407516479,9.041297913
3.318092346,3.335983276,8.445976257
3.251663208,3.233779907,8.292678833
3.238891602,3.172462463,8.259468079
3.27721405,3.098365784,7.86088562
3.330871582,3.062591553,7.699920654
3.430511475,3.01915741,7.776565552
3.504608154,3.021713257,7.855773926
3.624694824,3.047264099,8.024406433
3.703903198,3.0651474,8.213478088
3.780548096,3.0651474,8.325897217
3.892967224,3.029380798,7.970748901
3.972175598,2.983390808,7.06627655
4.094818115,2.970611572,6.591049194
4.17401886,2.988502502,6.03150177
4.299217224,3.042152405,5.844985962
4.380973816,3.11113739,5.691688538
4.493392944,3.274658203,5.379981995
4.55216217,3.412628174,4.994171143
4.595596313,3.629806519,5.032501221
4.618591309,3.760108948,4.99672699
4.667137146,3.938957214,4.904747009
4.697792053,4.056488037,5.293106079
4.748893738,4.263442993,5.604820251
4.756561279,4.419296265,5.489845276
4.708015442,4.639030457,5.38508606
4.65435791,4.777000427,5.832214355
4.554718018,4.914970398,6.292114258
4.480621338,4.963516235,6.711135864
4.360534668,5.078491211,7.015182495
4.281326294,5.190910339,7.817451477
4.151023865,5.3748703,8.006515503
4.066711426,5.482177734,7.817451477
3.944068909,5.607376099,7.901763916
3.867416382,5.681472778,8.320785522
3.754997253,5.793891907,8.767906189
3.678352356,5.865432739,8.913543701
3.540382385,5.970184326,9.222702026
3.44329071,6.036613464,9.493530273
3.320648193,6.154144287,10.15016174
3.249107361,6.235900879,10.79146576
3.190345764,6.353431702,11.0495224
3.123916626,6.394317627,10.91666412
3.090698242,6.417312622,11.31780243
3.052375793,6.476074219,11.68061066
3.031936646,6.534835815,11.70871735
3.001274109,6.66003418,11.60395813
2.978279114,6.736686707,11.62695313
2.957839966,6.787780762,11.46854401
2.947616577,6.754570007,11.0137558
2.932289124,6.601272583,10.96776581
2.927177429,6.463302612,10.96776581
2.927177429,6.238456726,10.41844177
2.929733276,6.087715149,9.227806091
2.924621582,5.860321045,8.801124573
2.924621582,5.701911926,8.555847168
2.911849976,5.420860291,8.389770508
2.88885498,5.252227783,8.226249695
2.876075745,5.068267822,8.223693848
2.88885498,4.960960388,8.200698853
2.934844971,4.805107117,8.279907227
2.980834961,4.692687988,8.522628784
3.067703247,4.541938782,8.435760498
3.131576538,4.462738037,7.96308136
3.233779907,4.352867126,7.148040771
3.307876587,4.26599884,6.9921875
3.407516479,4.084594727,6.570610046
3.4713974,3.944068909,6.228240967
3.565933228,3.760108948,6.039169312
3.629806519,3.637466431,5.998291016
3.721786499,3.479057312,6.034057617
3.780548096,3.404968262,6.309997559
3.839317322,3.30532074,6.9921875
3.900634766,3.244003296,7.245132446
3.918518066,3.18523407,7.554283142
3.903190613,3.103477478,7.868545532
3.869972229,3.044708252,8.285011292
3.793327332,2.960395813,8.58139801
3.747337341,2.89907074,9.143493652
3.686012268,2.830085754,9.434761047
3.637466431,2.794319153,9.618721008
3.56337738,2.735557556,9.547187805
3.514831543,2.669120789,9.166488647
3.430511475,2.549041748,9.100059509
3.369194031,2.500495911,9.138381958
3.279769897,2.467277527,9.393882751
3.213340759,2.462165833,9.95854187
3.100921631,2.441726685,9.996864319
3.021713257,2.423843384,10.17826843
2.911849976,2.382965088,10.55641174
2.850532532,2.347190857,10.9958725
2.766212463,2.285873413,10.94988251
2.70489502,2.257766724,10.74547577
2.60269165,2.257766724,10.74547577
2.551597595,2.278205872,10.62795258
2.500495911,2.275657654,10.09395599
2.480056763,2.252662659,9.851226807
2.46472168,2.257766724,9.613616943
2.457061768,2.293540955,9.240585327
2.451950073,2.372741699,8.788352966
2.449394226,2.434066772,8.77557373
2.444282532,2.546485901,8.836891174
2.439170837,2.620582581,8.936538696
2.43662262,2.715110779,9.174156189
2.439170837,2.771324158,8.949317932
2.439170837,2.832641602,8.106163025
2.444282532,2.934844971,7.600273132
2.45450592,2.998718262,6.994735718
2.477500916,3.067703247,6.616600037
2.492828369,3.103477478,6.212905884
2.500495911,3.187789917,6.202690125
2.513267517,3.254219055,6.297225952
2.541374207,3.379417419,6.468406677
2.572036743,3.466285706,7.022842407
2.633354187,3.568481445,7.142929077
2.687011719,3.601699829,6.545059204
2.778991699,3.604255676,6.279342651
2.847976685,3.59147644,6.453079224
2.947616577,3.57359314,6.414756775
3.006385803,3.550598145,6.297225952
3.095809937,3.514831543,6.327880859
3.149467468,3.4713974,6.330436707
